"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,13,"mid"
2,150,-1,0,0,0,0,0,0,0,13,"mid"
3,150,-1,0,0,0,0,0,0,0,13,"mid"
4,150,-1,0,0,0,0,0,0,0,13,"mid"
5,150,-1,0,0,0,0,0,0,0,13,"mid"
6,150,-1,0,0,0,0,0,0,0,13,"mid"
7,150,-1,0,0,0,0,0,0,0,13,"mid"
8,150,-1,0,0,0,0,0,0,0,13,"mid"
9,150,-1,0,0,0,0,0,0,0,13,"mid"
10,150,-1,0,0,0,0,0,0,0,13,"mid"
11,150,-1,0,0,0,0,0,0,0,13,"mid"
12,150,-1,0,0,0,0,0,0,0,13,"mid"
13,150,-1,0,0,0,0,0,0,0,13,"mid"
14,150,-1,0,0,0,0,0,0,0,13,"mid"
15,150,-1,0,0,0,0,0,0,0,13,"mid"
16,150,-1,0,0,0,0,0,0,0,13,"mid"
17,150,-1,0,0,0,0,0,0,0,13,"mid"
18,150,-1,0,0,0,0,0,0,0,13,"mid"
19,150,-1,0,0,0,0,0,0,0,13,"mid"
20,150,-1,0,0,0,0,0,0,0,13,"mid"
21,150,-1,0,0,0,0,0,0,0,13,"mid"
22,150,-1,0,0,0,0,0,0,0,13,"mid"
23,150,-1,0,0,0,0,0,0,0,13,"mid"
24,150,-1,0,0,0,0,0,0,0,13,"mid"
25,150,-1,0,0,0,0,0,0,0,13,"mid"
26,150,-1,0,0,0,0,0,0,0,13,"mid"
27,150,-1,0,0,0,0,0,0,0,13,"mid"
28,150,-1,0,0,0,0,0,0,0,13,"mid"
29,150,-1,0,0,0,0,0,0,0,13,"mid"
30,150,-1,0,0,0,0,0,0,0,13,"mid"
1,150,0,102.086666666667,103,100,105,94,108,4.72454204544206,13,"mid"
2,150,0,97.26,98,95,100,90.45,103,3.90049041831354,13,"mid"
3,150,0,119.96,120,117,123,112,127,5.21083022922954,13,"mid"
4,150,0,126.113333333333,126,123,129.75,117.45,135.55,5.94328527171876,13,"mid"
5,150,0,135.526666666667,136,133,138,128.45,142.55,4.32674942958316,13,"mid"
6,150,0,129.36,129,126,132,121.45,138.55,5.38239736012512,13,"mid"
7,150,0,110.113333333333,110,107,114,101,117,5.29978683459722,13,"mid"
8,150,0,115.04,115.5,111,119,102.45,126,7.66748560940742,13,"mid"
9,150,0,110.946666666667,110,107,115,103,120,5.7530694073915,13,"mid"
10,150,0,98.3933333333333,98,94,103,89,108,6.14576480642795,13,"mid"
11,150,0,111.813333333333,112,110,115,103.45,118,4.35718440376485,13,"mid"
12,150,0,113.58,114.5,112,116,106,119,4.55432532815025,13,"mid"
13,150,0,103.973333333333,105,101,108,93,113,6.66549430407628,13,"mid"
14,150,0,109.826666666667,109,107,112,104,117,4.32992810620704,13,"mid"
15,150,0,114.366666666667,115,111,117,107,123,5.07185504983457,13,"mid"
16,150,0,96.4866666666667,98,93,101,79.45,106,7.73359850660076,13,"mid"
17,150,0,114.72,114,113,116.75,110,120,3.20469454302496,13,"mid"
18,150,0,147.693333333333,148,145,149,142,154,3.67276694090942,13,"mid"
19,150,0,101.546666666667,101.5,100,103,96,106,3.25140479018219,13,"mid"
20,150,0,120,120,116.25,123,112,128.55,5.07394978719272,13,"mid"
21,150,0,98.2933333333333,99,95,102,88.45,107,6.61556702553539,13,"mid"
22,150,0,132.573333333333,131,129,136,122,146.55,7.20770157322569,13,"mid"
23,150,0,124.326666666667,124,121,127,115,135.55,6.11467227267636,13,"mid"
24,150,0,119.546666666667,120,116,122,109.45,130,6.60240617788754,13,"mid"
25,150,0,148.553333333333,148,145,151.75,141.45,158.55,5.25272274129027,13,"mid"
26,150,0,116.553333333333,116,114.25,119,111,122.55,3.67567126986573,13,"mid"
27,150,0,132.313333333333,132,129,136,122,140,5.18274973875704,13,"mid"
28,150,0,125.573333333333,126,123,128,119.45,131.55,3.76017039929939,13,"mid"
29,150,0,142.573333333333,144,138,149,124.45,153,9.14928145978825,13,"mid"
30,150,0,113.586666666667,114,111,116,107.45,119.55,3.88282514365467,13,"mid"
1,100,1,102.84,103,100,105.25,95.95,108.05,3.78919249946209,13,"mid"
2,300,1,97.46,97,95,100,91,104,3.81623008217977,13,"mid"
3,136,1,121.139705882353,121,118,124,112,130,5.53664264376038,13,"mid"
4,222,1,125.400900900901,125,121,129,116,136.95,6.75536315170413,13,"mid"
5,300,1,135.136666666667,136,132,138,128,142.05,5.33600023901092,13,"mid"
6,300,1,129.646666666667,129,126,132,123,138,4.42724412292442,13,"mid"
7,52,1,110.269230769231,110,107.75,113.25,104,117.45,5.02587572942887,13,"mid"
8,232,1,115.443965517241,116,111,119,105,125,6.12470391606091,13,"mid"
9,68,1,112.529411764706,112,107.5,116,102.35,122.65,8.42963958478723,13,"mid"
10,26,1,97.6538461538462,96,93.25,103,89.5,108.5,6.71679868801981,13,"mid"
11,8,1,110.875,111.5,108.75,112.25,108,113.65,2.29518128757995,13,"mid"
12,12,1,113.75,114,111,116,110.55,116.9,2.56284642891099,13,"mid"
13,288,1,103.975694444444,104,101,108,94,113,5.99617469844937,13,"mid"
14,86,1,109.488372093023,110,107,111,103.25,117,4.08654661065971,13,"mid"
15,174,1,114.229885057471,114,111,116.75,107,122.35,5.20937605003157,13,"mid"
16,10,1,98.7,98,96.25,100.75,89.95,108.3,6.70074622710038,13,"mid"
17,180,1,114.738888888889,115,113,116,110,120,3.09326875775402,13,"mid"
18,136,1,148.602941176471,148,146,151,142.75,156.5,4.38900885084668,13,"mid"
19,98,1,101.34693877551,101,99,104,95.85,106,3.44051674618058,13,"mid"
20,300,1,120.63,120,117,123.25,114,129,5.06939469185484,13,"mid"
21,300,1,99.02,99,96,103,89,107,5.91463238537955,13,"mid"
22,130,1,132.192307692308,132,129,136,122.45,143,6.37472741943006,13,"mid"
23,240,1,124.491666666667,124,121,128,116,135,6.01740270265449,13,"mid"
24,8,1,121.25,120.5,119.25,122.5,114.4,129.85,5.80024630018908,13,"mid"
25,300,1,149.6,149,145,152,141,160,5.47111600753384,13,"mid"
26,284,1,116.147887323944,116,114,118,111,122,3.43736932672637,13,"mid"
27,10,1,128.1,128,125.25,130.75,123,133.75,4.09471203708718,13,"mid"
28,258,1,125.062015503876,125,123,127,119.85,130,3.34931769109287,13,"mid"
29,292,1,143.318493150685,144,139,149,129,154,8.3923095496575,13,"mid"
30,6,1,114,114,112.5,114.75,109.75,118.75,3.63318042491699,13,"mid"
1,86,2,102.197674418605,102,100,105,94.25,109,4.69497796133864,13,"mid"
2,600,2,97.4983333333333,97,95,100,92,103.05,3.74254926673144,13,"mid"
3,146,2,119.472602739726,119.5,116,122.75,112,128.75,5.1450615163099,13,"mid"
4,278,2,125.607913669065,126,122,129,116.85,135,5.70396739182128,13,"mid"
5,600,2,135.115,136,132,138,125,143,5.51535495083706,13,"mid"
6,600,2,129.685,129,126,132,122,139,5.33603133273909,13,"mid"
7,22,2,110.590909090909,110.5,107.25,113.75,106,117.85,4.56340610998795,13,"mid"
8,356,2,114.705056179775,115,111,119,103,124.25,6.80555508366768,13,"mid"
9,22,2,111.045454545455,111,107,115,97.25,124.8,8.38636803575713,13,"mid"
10,2,2,93.5,93.5,92.75,94.25,92.15,94.85,2.12132034355964,13,"mid"
11,2,2,109,109,106.5,111.5,104.5,113.5,7.07106781186548,13,"mid"
12,2,2,115,115,115,115,115,115,0,13,"mid"
13,540,2,104.355555555556,105,101,108,94,114,6.26438727476696,13,"mid"
