"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run"
1,150,-1,0,0,0,0,0,0,0,6
2,150,-1,0,0,0,0,0,0,0,6
3,150,-1,0,0,0,0,0,0,0,6
4,150,-1,0,0,0,0,0,0,0,6
5,150,-1,0,0,0,0,0,0,0,6
6,150,-1,0,0,0,0,0,0,0,6
7,150,-1,0,0,0,0,0,0,0,6
8,150,-1,0,0,0,0,0,0,0,6
9,150,-1,0,0,0,0,0,0,0,6
10,150,-1,0,0,0,0,0,0,0,6
11,150,-1,0,0,0,0,0,0,0,6
12,150,-1,0,0,0,0,0,0,0,6
13,150,-1,0,0,0,0,0,0,0,6
14,150,-1,0,0,0,0,0,0,0,6
15,150,-1,0,0,0,0,0,0,0,6
16,150,-1,0,0,0,0,0,0,0,6
17,150,-1,0,0,0,0,0,0,0,6
18,150,-1,0,0,0,0,0,0,0,6
19,150,-1,0,0,0,0,0,0,0,6
20,150,-1,0,0,0,0,0,0,0,6
1,69,0,128.666666666667,129,126,131,123.4,134.6,3.92453319317263,6
2,70,0,102.642857142857,103,99,105,94.9,111,5.45876695288989,6
3,73,0,123.575342465753,123,121,126,118,130,3.65117107628642,6
4,60,0,116.433333333333,116,113.75,118.25,110.8,126,4.77765514667655,6
5,76,0,107.092105263158,108,104,112.25,96.5,116,6.4646270974258,6
6,68,0,139.264705882353,138.5,136,141,133,150.65,5.01822840553458,6
7,66,0,120.469696969697,121,118.25,123,113.25,126,3.96608583238397,6
8,68,0,108.735294117647,108,106,111,103.35,115.65,4.89476615714165,6
9,62,0,103.161290322581,104,100,106.75,96.05,110,4.80502997512732,6
10,65,0,127.630769230769,128,126,129,122.2,132,3.02370442694693,6
11,69,0,144.028985507246,144,142,146,138,149,3.63791720668957,6
12,59,0,138.101694915254,137,135,140.5,129,146.1,4.74775778386851,6
13,72,0,93.9861111111111,94,90,97,83.65,102.45,6.0989333067708,6
14,66,0,148.863636363636,149,146.25,151,143.25,154.75,3.52086686719386,6
15,65,0,106.846153846154,108,105,111,96.4,113.8,5.62425208703002,6
16,84,0,93.4166666666667,93,90,95,87,102,4.61064335299468,6
17,64,0,113.40625,112,109.75,117,103.15,128.25,7.0771681853556,6
18,70,0,150.114285714286,149,146,153.75,141.45,161.65,7.00836530619019,6
19,69,0,146.420289855072,147,144,149,139.4,151,4.09592982010423,6
20,78,0,140.307692307692,140.5,137,143,133,147.3,4.56499297252042,6
1,24,1,128.916666666667,129,127.75,131,124,133.7,3.33514443552256,6
2,60,1,101.633333333333,101,98,105,94,110.05,5.2236965503097,6
3,33,1,123.242424242424,124,122,125,119,127.8,3.12280225749149,6
4,100,1,115.38,116,113,118.25,106.95,122.05,4.65535425422419,6
5,136,1,109.279411764706,109,106,113,99,119.25,6.48952566487874,6
6,34,1,139.147058823529,139,136.25,141.75,134.65,144.35,3.48270491307927,6
7,10,1,120.6,120.5,117.25,123.5,115.35,126.65,4.27395211328656,6
8,150,1,108.333333333333,108,105,111,102,115,4.80724658061149,6
9,118,1,101.720338983051,102,99,104,91.85,109.45,5.72128369018663,6
10,83,1,127.168674698795,127,125,129,123,132,3.08742246711551,6
11,79,1,144.772151898734,145,143,147,137.9,150.3,4.11049116501381,6
12,14,1,137.928571428571,136.5,134.25,142.75,131,146.05,5.42734225528886,6
13,133,1,92.3007518796992,93,90,96,81.2,102,6.52615363354066,6
14,46,1,149.45652173913,150,148,152,144,155,3.75769741398539,6
15,37,1,108.486486486486,109,106,111,100.8,114.4,5.09695781608785,6
16,177,1,93.1751412429379,93,89,97,83,103,6.15960568278823,6
